Station,Parameter,Date (localtime),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration
Embassy Kathmandu,O3,2018-01-01 01:00 AM,2018,1,1,1,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 02:00 AM,2018,1,1,2,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 03:00 AM,2018,1,1,3,3.0,3,Good,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 04:00 AM,2018,1,1,4,1.0,1,Good,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 05:00 AM,2018,1,1,5,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 06:00 AM,2018,1,1,6,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 07:00 AM,2018,1,1,7,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 08:00 AM,2018,1,1,8,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 09:00 AM,2018,1,1,9,5.0,5,Good,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 10:00 AM,2018,1,1,10,14.0,13,Good,14.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 11:00 AM,2018,1,1,11,30.0,28,Good,30.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 12:00 PM,2018,1,1,12,37.0,34,Good,37.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 01:00 PM,2018,1,1,13,42.0,39,Good,42.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 02:00 PM,2018,1,1,14,44.0,41,Good,44.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 03:00 PM,2018,1,1,15,55.0,51,Moderate,55.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 04:00 PM,2018,1,1,16,49.0,45,Good,49.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 05:00 PM,2018,1,1,17,35.0,32,Good,30.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 06:00 PM,2018,1,1,18,27.0,25,Good,20.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 07:00 PM,2018,1,1,19,6.0,6,Good,4.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 08:00 PM,2018,1,1,20,10.0,9,Good,11.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 09:00 PM,2018,1,1,21,14.0,13,Good,15.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 10:00 PM,2018,1,1,22,9.0,8,Good,9.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-01 11:00 PM,2018,1,1,23,1.0,1,Good,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 12:00 AM,2018,1,2,0,7.0,6,Good,7.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 01:00 AM,2018,1,2,1,1.0,1,Good,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 02:00 AM,2018,1,2,2,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 03:00 AM,2018,1,2,3,2.0,2,Good,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 04:00 AM,2018,1,2,4,2.0,2,Good,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 05:00 AM,2018,1,2,5,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 06:00 AM,2018,1,2,6,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 07:00 AM,2018,1,2,7,-1.0,-999,N/A,-1.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 08:00 AM,2018,1,2,8,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 09:00 AM,2018,1,2,9,6.0,6,Good,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 10:00 AM,2018,1,2,10,22.0,20,Good,21.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 11:00 AM,2018,1,2,11,36.0,33,Good,36.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 12:00 PM,2018,1,2,12,38.0,35,Good,38.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 01:00 PM,2018,1,2,13,38.0,35,Good,38.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 02:00 PM,2018,1,2,14,33.0,31,Good,33.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 03:00 PM,2018,1,2,15,39.0,36,Good,39.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 04:00 PM,2018,1,2,16,38.0,35,Good,38.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 05:00 PM,2018,1,2,17,35.0,32,Good,32.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 06:00 PM,2018,1,2,18,32.0,30,Good,25.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 07:00 PM,2018,1,2,19,8.0,7,Good,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 08:00 PM,2018,1,2,20,6.0,6,Good,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 09:00 PM,2018,1,2,21,1.0,1,Good,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 10:00 PM,2018,1,2,22,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-02 11:00 PM,2018,1,2,23,1.0,1,Good,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-03 12:00 AM,2018,1,3,0,1.0,1,Good,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-03 01:00 AM,2018,1,3,1,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-03 02:00 AM,2018,1,3,2,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-03 03:00 AM,2018,1,3,3,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-03 04:00 AM,2018,1,3,4,0.0,0,Good,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-03 05:00 AM,2018,1,3,5,5.0,5,Good,4.0,PPB,1 Hr
Embassy Kathmandu,O3,2018-01-03 06:00 AM,2018,1,3,6,3.0,3,Good,3.0,PPB,1 Hr
