Station,Parameter,Date (localtime),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration
Embassy Kathmandu,O3,2019-01-01 01:00 AM,2019,1,1,1,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 02:00 AM,2019,1,1,2,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 03:00 AM,2019,1,1,3,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 04:00 AM,2019,1,1,4,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 05:00 AM,2019,1,1,5,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 06:00 AM,2019,1,1,6,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 07:00 AM,2019,1,1,7,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 08:00 AM,2019,1,1,8,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 09:00 AM,2019,1,1,9,-999.0,-999,N/A,4.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 10:00 AM,2019,1,1,10,-999.0,-999,N/A,19.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 11:00 AM,2019,1,1,11,-999.0,-999,N/A,33.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 12:00 PM,2019,1,1,12,-999.0,-999,N/A,41.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 01:00 PM,2019,1,1,13,-999.0,-999,N/A,47.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 02:00 PM,2019,1,1,14,-999.0,-999,N/A,52.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 03:00 PM,2019,1,1,15,-999.0,-999,N/A,51.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 04:00 PM,2019,1,1,16,-999.0,-999,N/A,42.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 05:00 PM,2019,1,1,17,-999.0,-999,N/A,34.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 06:00 PM,2019,1,1,18,-999.0,-999,N/A,26.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 07:00 PM,2019,1,1,19,-999.0,-999,N/A,10.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 08:00 PM,2019,1,1,20,-999.0,-999,N/A,12.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 09:00 PM,2019,1,1,21,-999.0,-999,N/A,8.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 10:00 PM,2019,1,1,22,-999.0,-999,N/A,10.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-01 11:00 PM,2019,1,1,23,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 12:00 AM,2019,1,2,0,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 01:00 AM,2019,1,2,1,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 02:00 AM,2019,1,2,2,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 03:00 AM,2019,1,2,3,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 04:00 AM,2019,1,2,4,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 05:00 AM,2019,1,2,5,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 06:00 AM,2019,1,2,6,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 07:00 AM,2019,1,2,7,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 08:00 AM,2019,1,2,8,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 09:00 AM,2019,1,2,9,-999.0,-999,N/A,4.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 10:00 AM,2019,1,2,10,-999.0,-999,N/A,17.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 11:00 AM,2019,1,2,11,-999.0,-999,N/A,34.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 12:00 PM,2019,1,2,12,-999.0,-999,N/A,45.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 01:00 PM,2019,1,2,13,-999.0,-999,N/A,46.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 02:00 PM,2019,1,2,14,-999.0,-999,N/A,47.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 03:00 PM,2019,1,2,15,-999.0,-999,N/A,36.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 04:00 PM,2019,1,2,16,-999.0,-999,N/A,30.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 05:00 PM,2019,1,2,17,-999.0,-999,N/A,26.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 06:00 PM,2019,1,2,18,-999.0,-999,N/A,21.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 07:00 PM,2019,1,2,19,-999.0,-999,N/A,9.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 08:00 PM,2019,1,2,20,-999.0,-999,N/A,7.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 09:00 PM,2019,1,2,21,-999.0,-999,N/A,4.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 10:00 PM,2019,1,2,22,-999.0,-999,N/A,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-02 11:00 PM,2019,1,2,23,-999.0,-999,N/A,9.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 12:00 AM,2019,1,3,0,-999.0,-999,N/A,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 01:00 AM,2019,1,3,1,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 02:00 AM,2019,1,3,2,-999.0,-999,N/A,3.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 03:00 AM,2019,1,3,3,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 04:00 AM,2019,1,3,4,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 05:00 AM,2019,1,3,5,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 06:00 AM,2019,1,3,6,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 07:00 AM,2019,1,3,7,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 08:00 AM,2019,1,3,8,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 09:00 AM,2019,1,3,9,-999.0,-999,N/A,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 10:00 AM,2019,1,3,10,-999.0,-999,N/A,17.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 11:00 AM,2019,1,3,11,-999.0,-999,N/A,32.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 12:00 PM,2019,1,3,12,-999.0,-999,N/A,39.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 01:00 PM,2019,1,3,13,-999.0,-999,N/A,45.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 02:00 PM,2019,1,3,14,-999.0,-999,N/A,35.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 03:00 PM,2019,1,3,15,-999.0,-999,N/A,32.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 04:00 PM,2019,1,3,16,-999.0,-999,N/A,31.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 05:00 PM,2019,1,3,17,-999.0,-999,N/A,26.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 06:00 PM,2019,1,3,18,-999.0,-999,N/A,13.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 07:00 PM,2019,1,3,19,-999.0,-999,N/A,17.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 08:00 PM,2019,1,3,20,-999.0,-999,N/A,19.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 09:00 PM,2019,1,3,21,-999.0,-999,N/A,11.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 10:00 PM,2019,1,3,22,-999.0,-999,N/A,5.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-03 11:00 PM,2019,1,3,23,-999.0,-999,N/A,1.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 12:00 AM,2019,1,4,0,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 01:00 AM,2019,1,4,1,-999.0,-999,N/A,3.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 02:00 AM,2019,1,4,2,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 03:00 AM,2019,1,4,3,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 04:00 AM,2019,1,4,4,-999.0,-999,N/A,3.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 05:00 AM,2019,1,4,5,-999.0,-999,N/A,2.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 06:00 AM,2019,1,4,6,-999.0,-999,N/A,0.0,PPB,1 Hr
Embassy Kathmandu,O3,2019-01-04 07:00 AM,2019,1,4,7,-999.0,-999,N/A,0.0,PPB,1 Hr
