Station,Parameter,Date (localtime),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 01:00 AM,2019,1,1,1,125.3,187,Unhealthy,113.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 02:00 AM,2019,1,1,2,108.6,178,Unhealthy,92.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 03:00 AM,2019,1,1,3,93.8,171,Unhealthy,79.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 04:00 AM,2019,1,1,4,89.9,169,Unhealthy,86.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 05:00 AM,2019,1,1,5,90.4,169,Unhealthy,91.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 06:00 AM,2019,1,1,6,94.2,171,Unhealthy,98.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 07:00 AM,2019,1,1,7,104.1,176,Unhealthy,114.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 08:00 AM,2019,1,1,8,120.0,184,Unhealthy,136.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 09:00 AM,2019,1,1,9,148.5,199,Unhealthy,177.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 10:00 AM,2019,1,1,10,171.7,222,Very Unhealthy,195.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 11:00 AM,2019,1,1,11,149.3,199,Unhealthy,127.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 12:00 PM,2019,1,1,12,105.6,177,Unhealthy,62.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 01:00 PM,2019,1,1,13,73.3,160,Unhealthy,41.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 02:00 PM,2019,1,1,14,56.1,151,Unhealthy,39.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 03:00 PM,2019,1,1,15,61.5,154,Unhealthy,67.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 04:00 PM,2019,1,1,16,54.2,147,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 05:00 PM,2019,1,1,17,46.1,127,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr
Embassy Kathmandu,PM2.5 - Principal,2019-01-01 06:00 PM,2019,1,1,18,48.5,133,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr
